lambda,regularizer,val_acc,val_recall,val_pre,val_f1,train_acc
6.579201,l2,0.8727272727272727,0.8727272727272727,0.8728458049886622,0.871286922373879,0.9700374531835206
3.337361,l2,0.8757575757575757,0.8757575757575758,0.875973700973701,0.8745320188852292,0.9775280898876404
6.281771,l2,0.8727272727272727,0.8727272727272727,0.8728458049886622,0.871286922373879,0.9700374531835206
8.384631,l2,0.8757575757575757,0.8757575757575758,0.8756967433438022,0.8744769089517423,0.9662921348314607
1.581521,l1,0.8787878787878788,0.8787878787878788,0.8784802902449962,0.8779481563026034,0.9912609238451935
6.257651,l1,0.8727272727272727,0.8727272727272727,0.8728458049886622,0.871286922373879,0.9700374531835206
9.569121,,,,,,
8.837881,l2,0.8757575757575757,0.8757575757575758,0.8756967433438022,0.8744769089517423,0.9662921348314607
5.340471,,,,,,
1.118431,l1,0.8757575757575757,0.8757575757575756,0.8753460510886253,0.8747412882536167,0.9937578027465668
0.369411,,,,,,
5.674951,l1,0.8727272727272727,0.8727272727272727,0.8728458049886622,0.871286922373879,0.9700374531835206
2.841751,,,,,,
6.575611,l2,0.8727272727272727,0.8727272727272727,0.8728458049886622,0.871286922373879,0.9700374531835206
9.558991,l1,0.8757575757575757,0.8757575757575758,0.8756967433438022,0.8744769089517423,0.9650436953807741
5.359301,l2,0.8727272727272727,0.8727272727272727,0.8728458049886622,0.871286922373879,0.9700374531835206
1.272591,l2,0.8787878787878788,0.8787878787878788,0.8784802902449962,0.8779481563026034,0.9937578027465668
4.768141,,,,,,
0.779751,l1,0.8727272727272727,0.8727272727272727,0.8722066548153505,0.8720987236655185,0.9962546816479401
7.993821,l1,0.8757575757575757,0.8757575757575758,0.8756967433438022,0.8744769089517423,0.9662921348314607
3.162351,l1,0.8787878787878788,0.8787878787878788,0.8788157064627654,0.877704040971444,0.9775280898876404
5.555381,l1,0.8727272727272727,0.8727272727272727,0.8728458049886622,0.871286922373879,0.9700374531835206
2.556371,l1,0.8757575757575757,0.8757575757575756,0.8755646063919263,0.8747862558113023,0.9812734082397003
0.611221,l1,0.8757575757575757,0.8757575757575758,0.8752376436586963,0.8752471650556465,0.9987515605493134
3.291971,,,,,,
6.982821,,,,,,
5.585611,,,,,,
4.395661,l2,0.8757575757575757,0.8757575757575758,0.875973700973701,0.8745320188852292,0.9737827715355806
2.942991,l2,0.8787878787878788,0.8787878787878788,0.8788157064627654,0.877704040971444,0.9800249687890137
0.669281,l1,0.8757575757575757,0.8757575757575758,0.8752376436586963,0.8752471650556465,0.9975031210986267
5.863691,l2,0.8727272727272727,0.8727272727272727,0.8728458049886622,0.871286922373879,0.9700374531835206
5.019431,l2,0.8757575757575757,0.8757575757575758,0.875973700973701,0.8745320188852292,0.9700374531835206
4.523941,l2,0.8757575757575757,0.8757575757575758,0.875973700973701,0.8745320188852292,0.9737827715355806
8.396021,l2,0.8757575757575757,0.8757575757575758,0.8756967433438022,0.8744769089517423,0.9662921348314607
4.968251,,,,,,
0.301291,,,,,,
8.565591,l2,0.8757575757575757,0.8757575757575758,0.8756967433438022,0.8744769089517423,0.9662921348314607
3.139941,l1,0.8787878787878788,0.8787878787878788,0.8788157064627654,0.877704040971444,0.9775280898876404
0.428431,,,,,,
2.424681,l2,0.8757575757575757,0.8757575757575756,0.8755646063919263,0.8747862558113023,0.9812734082397003
6.836371,l1,0.8727272727272727,0.8727272727272727,0.8728458049886622,0.871286922373879,0.968789013732834
4.200091,l2,0.8757575757575757,0.8757575757575758,0.875973700973701,0.8745320188852292,0.9737827715355806
9.987381,,,,,,
8.841901,l1,0.8757575757575757,0.8757575757575758,0.8756967433438022,0.8744769089517423,0.9662921348314607
4.193711,l1,0.8757575757575757,0.8757575757575758,0.875973700973701,0.8745320188852292,0.9737827715355806
0.302511,l2,0.8696969696969697,0.8696969696969696,0.8692100201976332,0.8689448454095682,0.9987515605493134
6.748461,,,,,,
8.928871,l1,0.8757575757575757,0.8757575757575758,0.8756967433438022,0.8744769089517423,0.9662921348314607
1.036041,,,,,,
2.838521,l1,0.8787878787878788,0.8787878787878788,0.8788157064627654,0.877704040971444,0.9800249687890137
9.971261,,,,,,
5.472551,l2,0.8727272727272727,0.8727272727272727,0.8728458049886622,0.871286922373879,0.9700374531835206
7.569811,l2,0.8757575757575757,0.8757575757575758,0.8756967433438022,0.8744769089517423,0.968789013732834
2.103671,l2,0.8757575757575757,0.8757575757575756,0.8755646063919263,0.8747862558113023,0.9837702871410736
1.491341,,,,,,
8.358521,,,,,,
0.706241,l2,0.8757575757575757,0.8757575757575758,0.8752376436586963,0.8752471650556465,0.9975031210986267
4.992721,,,,,,
7.788141,,,,,,
4.539551,l1,0.8757575757575757,0.8757575757575758,0.875973700973701,0.8745320188852292,0.9737827715355806
2.049201,,,,,,
2.589001,,,,,,
6.663371,l2,0.8727272727272727,0.8727272727272727,0.8728458049886622,0.871286922373879,0.968789013732834
4.408071,l1,0.8757575757575757,0.8757575757575758,0.875973700973701,0.8745320188852292,0.9737827715355806
