lambda,regularizer,num_estimators,learning_rate,val_acc,val_recall,val_pre,val_f1,train_acc
5.674951,l1,60,9.2,0.48787878787878786,0.48787878787878786,0.5508372048006195,0.4887984609519756,0.449438202247191
2.841751,,160,13.2,,,,,
6.575611,l2,235,37.2,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.3333333333333333
9.558991,l1,310,19.2,0.6090909090909091,0.609090909090909,0.6459482911388538,0.5920079108579794,0.5780274656679151
5.359301,l2,360,21.2,0.35454545454545455,0.35454545454545455,0.44685242518059853,0.2092470868452393,0.36329588014981273
1.272591,l2,410,31.2,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.3333333333333333
4.768141,,160,9.2,,,,,
0.779751,l1,385,15.2,0.5606060606060606,0.5606060606060607,0.5724193618078511,0.5588667920869793,0.5280898876404494
7.993821,l1,135,8.2,0.6181818181818182,0.6181818181818182,0.42435897435897435,0.4976702508960574,0.6142322097378277
3.162351,l1,185,4.2,0.4666666666666667,0.4666666666666666,0.629170144421681,0.3652297405110609,0.46192259675405745
5.555381,l1,485,21.2,0.4727272727272727,0.4727272727272727,0.49578469782032125,0.38924538688204574,0.4519350811485643
2.556371,l1,410,2.2,0.7666666666666667,0.7666666666666666,0.7674903799903801,0.7670378468543606,0.8252184769038702
0.611221,l1,235,5.2,0.7727272727272727,0.7727272727272728,0.7826513740916116,0.7745598633092033,0.7565543071161048
3.291971,,110,24.2,,,,,
6.982821,,210,27.2,,,,,
5.585611,,360,24.2,,,,,
4.395661,l2,335,15.2,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.3333333333333333
2.942991,l2,285,20.2,0.38484848484848483,0.38484848484848483,0.45047923322683703,0.262603699360275,0.41198501872659177
0.669281,l1,10,21.2,0.6333333333333333,0.6333333333333333,0.6260706914344686,0.6243354465576688,0.6067415730337079
5.863691,l2,335,16.2,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.3333333333333333
5.019431,l2,160,19.2,0.6212121212121212,0.6212121212121212,0.7648498247208965,0.5861553895971919,0.6466916354556804
4.523941,l2,435,12.2,0.4393939393939394,0.4393939393939394,0.7628233664737597,0.3625005441643812,0.43570536828963796
8.396021,l2,85,8.2,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.3333333333333333
4.968251,,485,12.2,,,,,
0.301291,,285,2.2,,,,,
8.565591,l2,435,19.2,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.3358302122347066
3.139941,l1,360,27.2,0.4303030303030303,0.43030303030303024,0.45645645645645655,0.3767655854612377,0.4307116104868914
0.428431,,385,23.2,,,,,
2.424681,l2,360,39.2,0.2545454545454545,0.2545454545454546,0.16970320305612696,0.20363905638421667,0.26092384519350814
6.836371,l1,460,19.2,0.44545454545454544,0.4454545454545455,0.4233673062688607,0.3558728949818059,0.43570536828963796
4.200091,l2,235,32.2,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.3333333333333333
9.987381,,410,23.2,,,,,
8.841901,l1,360,15.2,0.6151515151515151,0.6151515151515151,0.4257703081232493,0.49625751196516604,0.6129837702871411
4.193711,l1,10,27.2,0.2636363636363636,0.2636363636363636,0.3010684055042782,0.21395213619554854,0.25842696629213485
0.302511,l2,210,35.2,0.32727272727272727,0.32727272727272727,0.22811594202898552,0.2578898225957049,0.3620474406991261
6.748461,,460,36.2,,,,,
8.928871,l1,160,2.2,0.8181818181818182,0.8181818181818182,0.8170259005173617,0.8159577316692465,0.8027465667915106
1.036041,,85,20.2,,,,,
2.838521,l1,285,21.2,0.5969696969696969,0.596969696969697,0.5789806836164452,0.5772922324367532,0.5867665418227216
9.971261,,210,37.2,,,,,
