,Criterion,Max Depth,Min Sample Leaf,Max Features,Boot Size,T Acc,V Acc,V Pred,V Rec,V F1
0,gini,9,6,0.33,642,0.8564294631710362,0.7878787878787878,0.7901999756703474,0.787878788,0.7885647015208349
0,entropy,11,7,0.33,402,0.8127340823970037,0.7878787878787878,0.7854845611274449,0.7878787878787877,0.784095154
0,entropy,14,7,log2,565,0.8289637952559301,0.7878787878787878,0.7858009365362305,0.787878788,0.7857813100286094
0,entropy,14,7,log2,565,0.8289637952559301,0.7878787878787878,0.7858009365362305,0.787878788,0.7857813100286094
0,entropy,6,9,log2,746,0.8039950062421972,0.7878787878787878,0.7849810561061163,0.7878787878787877,0.7838814735953257
0,gini,7,3,0.33,689,0.8551810237203495,0.7878787878787878,0.7858882839282114,0.787878788,0.7860689703610059
0,entropy,9,13,0.33,755,0.836454432,0.7878787878787878,0.7844122445892358,0.787878788,0.782732861
0,entropy,11,8,sqrt,470,0.7927590511860175,0.7878787878787878,0.7986383963912053,0.787878788,0.7882563900447436
0,gini,6,8,log2,484,0.8002496878901373,0.7878787878787878,0.7851636774757181,0.787878788,0.7820530452685187
0,entropy,6,10,sqrt,578,0.8014981273408239,0.7878787878787878,0.7926365480578065,0.7878787878787877,0.7887416819011994
0,entropy,6,8,log2,676,0.7815230961298377,0.7878787878787878,0.7903053839187383,0.7878787878787877,0.7888719769998308
0,gini,12,6,0.33,612,0.8252184769038702,0.7878787878787878,0.7857921929833881,0.787878788,0.7855765025635001
0,entropy,6,12,sqrt,491,0.8052434456928839,0.7878787878787878,0.7861728963005558,0.7878787878787877,0.7844784613245189
0,entropy,11,14,0.33,652,0.8264669163545568,0.7878787878787878,0.7915042750536271,0.787878788,0.7890022368671823
0,entropy,12,3,log2,538,0.8564294631710362,0.7878787878787878,0.7887811627316578,0.7878787878787877,0.7865658171546578
0,entropy,12,3,log2,538,0.8564294631710362,0.7878787878787878,0.7887811627316578,0.7878787878787877,0.7865658171546578
0,gini,3,6,log2,620,0.7553058676654182,0.7878787878787878,0.7869796832595353,0.787878788,0.7867832646765799
0,gini,14,10,sqrt,457,0.7790262172284644,0.7878787878787878,0.7864698937062248,0.787878788,0.7839727923920315
0,entropy,6,8,log2,606,0.7952559300873908,0.7878787878787878,0.7851919528873497,0.7878787878787877,0.7852825825097547
0,entropy,13,2,0.33,670,0.8863920099875156,0.7878787878787878,0.7839285714285714,0.787878788,0.7845887693713781
0,gini,10,5,sqrt,467,0.8114856429463171,0.7878787878787878,0.7991153192046049,0.7878787878787877,0.7909502765879896
0,gini,10,5,sqrt,467,0.8114856429463171,0.7878787878787878,0.7991153192046049,0.7878787878787877,0.7909502765879896
0,gini,5,6,sqrt,650,0.7777777777777778,0.7878787878787878,0.7900575072283709,0.787878788,0.7871697007202784
0,gini,5,6,sqrt,650,0.7777777777777778,0.7878787878787878,0.7900575072283709,0.787878788,0.7871697007202784
0,entropy,9,9,0.33,516,0.8239700374531835,0.7878787878787878,0.7844231791600214,0.787878788,0.7841898954703833
0,entropy,12,1,0.33,570,0.8838951310861424,0.7878787878787878,0.787811988,0.7878787878787877,0.7876086588871978
0,entropy,8,9,log2,485,0.8002496878901373,0.7878787878787878,0.7856811333904806,0.787878788,0.7860022340382707
0,entropy,8,9,log2,485,0.8002496878901373,0.7878787878787878,0.7856811333904806,0.787878788,0.7860022340382707
0,gini,9,1,sqrt,501,0.8751560549313359,0.7878787878787878,0.7900094910964476,0.787878788,0.788608061
0,gini,4,1,0.33,743,0.797752809,0.7878787878787878,0.7914357949556424,0.787878788,0.7886455395946772
0,gini,11,4,sqrt,469,0.836454432,0.7878787878787878,0.7929517263652971,0.787878788,0.789464001
0,entropy,8,11,0.33,577,0.8127340823970037,0.7878787878787878,0.7876231605688546,0.787878788,0.7842316086152873
0,entropy,8,11,0.33,577,0.8127340823970037,0.7878787878787878,0.7876231605688546,0.787878788,0.7842316086152873
0,gini,14,12,0.33,718,0.8264669163545568,0.7878787878787878,0.797131867,0.787878788,0.7903643175490022
0,entropy,11,4,log2,787,0.8589263420724095,0.7878787878787878,0.7905797101449276,0.7878787878787877,0.7883597883597884
0,entropy,10,4,0.33,759,0.8714107365792759,0.7878787878787878,0.7975103370613535,0.787878788,0.7904121958131038
0,gini,8,2,sqrt,623,0.8626716604244694,0.7848484848484848,0.790410081,0.7848484848484848,0.7864394074611852
0,gini,8,2,sqrt,623,0.8626716604244694,0.7848484848484848,0.790410081,0.7848484848484848,0.7864394074611852
0,gini,11,7,log2,498,0.7790262172284644,0.7848484848484848,0.7881741167097863,0.7848484848484848,0.7842393547714631
0,gini,11,7,0.33,693,0.836454432,0.7848484848484848,0.7842160387524296,0.7848484848484848,0.7838634608247319
0,entropy,11,13,log2,672,0.787765293,0.7848484848484848,0.7846759585578621,0.7848484848484848,0.7835942412023599
0,gini,6,6,0.33,443,0.8214731585518102,0.7848484848484848,0.7874290984175175,0.7848484848484848,0.7758701924704581
